,ball skills,physical,postions_Player,defence,mental,shooting,passing,hight,wight,age,value
Teemu Pukki,75.0,73.57142857142857,ST,29.5,69.83333333333333,65.625,54.666666666666664,180,80,31,6500000
Fedor Smolov,74.5,73.42857142857143,ST,27.0,66.5,73.75,68.33333333333333,186,83,31,6500000
Cristhian Stuani,70.5,61.57142857142857,ST,47.0,68.0,75.25,68.66666666666667,186,76,34,3600000
Eric Maxim Choupo-Moting,79.5,71.71428571428571,ST,33.5,65.0,68.875,67.66666666666667,191,90,32,6000000
Nordin Amrabat,76.5,75.28571428571429,ST,50.0,70.0,72.75,73.66666666666667,179,77,34,3500000
Diego Valeri,79.0,65.14285714285714,ST,44.0,67.66666666666667,76.25,76.33333333333333,178,73,35,3100000
Ivan Schranz,72.5,76.0,ST,24.5,65.33333333333333,71.125,58.666666666666664,185,73,28,6000000
Marcos André,73.5,74.28571428571429,ST,34.5,58.333333333333336,66.875,59.0,184,78,25,
Kodjo Fo-Doh Laba,67.0,77.85714285714286,ST,18.0,62.333333333333336,68.25,62.333333333333336,183,82,29,4200000
Silas,80.5,76.14285714285714,ST,51.5,65.0,62.75,61.333333333333336,189,79,23,12500000
Manu Vallejo,75.5,75.28571428571429,ST,44.0,59.333333333333336,73.0,65.33333333333333,167,72,24,8500000
Caleb Ekuban,74.0,80.71428571428571,ST,22.0,63.5,67.625,66.33333333333333,182,80,27,6000000
José Juan Macías,76.0,67.57142857142857,ST,20.0,56.166666666666664,65.75,58.666666666666664,177,73,22,12500000
Mama Baldé,71.5,83.0,ST,46.5,68.0,66.75,68.66666666666667,176,69,25,7000000
Mergim Berisha,75.0,73.28571428571429,ST,26.5,66.16666666666667,72.5,68.66666666666667,186,79,23,8500000
